16;16;1836;842;block4
362;310;6864;570;whitebase
16;16;1820;890;block38
442;396;7972;474;bloodbase
388;365;10564;0;rockbase
16;16;1852;842;block44
16;16;1964;826;block76
16;16;1884;874;block55
16;16;1804;897;block33
128;128;3134;789;magic
16;16;1644;897;block24
16;16;1932;874;block69
16;16;1596;897;block21
1248;333;5616;580;puddle
16;16;1900;842;block58
16;16;1948;826;block71
465;413;7507;485;alterator
297;289;11167;299;explod
16;16;1628;897;block23
248;424;7259;485;spearman
233;299;11167;0;whitler
16;16;1772;897;block31
16;16;1916;874;block64
16;16;1932;890;block70
16;16;11464;0;block12
467;257;11534;269;fireball
16;16;11148;0;block0
774;921;774;0;inviz
568;580;5616;0;chicken
16;16;1660;897;block25
16;16;1868;874;block50
16;16;1900;858;block59
348;779;4196;0;headlesshorseman
774;921;0;0;errupt
16;16;1788;897;block32
16;16;11416;0;block10
16;16;1980;842;block82
16;16;1884;890;block56
1190;789;3006;0;spider
16;16;11496;0;block14
16;16;1964;842;block77
16;16;1916;826;block61
495;453;9538;0;magicball
16;16;1932;858;block68
181;207;5402;710;shield
16;16;1868;842;block49
168;245;11813;0;alteratormark
16;16;1820;826;block34
16;16;1916;890;block65
16;16;1756;897;block30
538;570;6721;0;peasant
16;16;11480;0;block13
16;16;1964;858;block78
472;818;2534;0;wraith
388;365;10176;0;greenbarracks
752;160;11853;526;pedestal
16;16;11400;0;block1
16;16;1836;858;block40
16;16;1852;826;block43
16;16;1900;874;block6
16;16;1868;858;block5
16;16;1948;890;block75
620;392;8414;474;tank
16;16;1980;826;block81
16;16;11432;0;block11
16;16;1740;897;block3
282;474;7829;0;boarcavalary
16;16;12587;0;block18
16;16;1916;842;block62
531;739;4544;0;priest
16;16;1900;890;block60
16;16;1724;897;block29
388;365;10176;365;morticum
16;16;1708;897;block28
16;16;1868;826;block48
16;16;1884;826;block52
16;16;1676;897;block26
279;306;10888;365;skull
16;16;1820;842;block35
16;16;1836;890;block42
1000;474;8111;0;mineral0
16;16;1980;858;block83
442;138;12001;0;mineralvein
16;16;1836;874;block41
537;579;6184;0;headless
128;128;3390;789;rockicon
16;16;1692;897;block27
407;378;9769;453;magicbase
196;263;10952;0;mineral2
541;710;5075;0;snek
16;16;1964;874;block79
16;16;1852;890;block47
319;237;11534;526;buffbird2
16;16;12571;0;block17
16;16;1564;897;block2
16;16;1884;842;block53
162;228;10888;671;drownedtotem
570;485;7259;0;volcano
16;16;1580;897;block20
16;16;1932;842;block67
16;16;1612;897;block22
367;274;11167;588;pebble
16;16;1948;874;block74
16;16;1820;858;block36
128;128;12443;0;build
427;472;9111;0;stoneborn
16;16;1868;890;block51
128;128;10033;0;blood
16;16;1820;874;block37
279;269;11534;0;wisp
128;128;3006;789;heal
371;175;4544;739;alterbolt
16;16;1836;826;block39
16;16;1852;858;block45
324;357;10564;365;rock
128;128;3262;789;move
16;16;1964;890;block80
327;211;5075;710;buffbird
735;391;9034;474;barracks
16;16;1948;842;block72
16;16;11512;0;block15
16;16;1900;826;block57
16;16;1548;897;block19
268;71;1548;826;arrow
16;16;1852;874;block46
16;16;1916;858;block63
128;128;3646;789;speed
16;16;1884;858;block54
16;16;11981;0;block16
16;16;1948;858;block73
986;826;1548;0;mineral1
16;16;1932;826;block66
128;128;3518;789;rockplant
